,type,text,freq,font,fontsize,rotation,noise_level,filename,question,question_correct,question_filename,event_id,question_asked
20,consonants,rjfcdx,,Impact,20,15,0.35,consonants_rjfcdx.png,r _ _ _ _ _,True,consonants_rjfcdx_question.png,20,False
21,symbols,s^o^^v,,DejaVu Sans,40,15,0.35,symbols_s^o^^v.png,_ _ _ _ ^ _,True,symbols_s^o^^v_question.png,30,False
22,word,shiia,9.0,Comic Sans MS,20,15,0.2,word_shiia.png,z _ _ _ _,False,word_shiia_question.png,10,True
23,consonants,gxqtx,,Impact,30,-15,0.5,consonants_gxqtx.png,_ _ _ t _,True,consonants_gxqtx_question.png,20,False
24,word,tyrä,65.0,Comic Sans MS,30,0,0.2,word_tyrä.png,u _ _ _,False,word_tyrä_question.png,10,False
25,word,säiky,55.0,Impact,20,-15,0.35,word_säiky.png,_ _ i _ _,True,word_säiky_question.png,10,False
26,symbols,vovvvv,,DejaVu Sans,30,0,0.2,symbols_vovvvv.png,_ _ ^ _ _ _,False,symbols_vovvvv_question.png,30,False
27,symbols,^svs^,,DejaVu Sans,40,0,0.2,symbols_^svs^.png,_ _ _ d _,False,symbols_^svs^_question.png,30,False
28,symbols,vdod^,,DejaVu Sans,40,15,0.2,symbols_vdod^.png,_ _ _ d _,True,symbols_vdod^_question.png,30,False
29,consonants,ddjs,,Times New Roman,30,-15,0.2,consonants_ddjs.png,_ _ j _,True,consonants_ddjs_question.png,20,True
30,consonants,ndsvw,,Times New Roman,30,0,0.35,consonants_ndsvw.png,z _ _ _ _,False,consonants_ndsvw_question.png,20,False
31,symbols,o^ss,,DejaVu Sans,40,-15,0.2,symbols_o^ss.png,_ _ _ s,True,symbols_o^ss_question.png,30,False
32,word,fuksi,142.0,Impact,40,-15,0.35,word_fuksi.png,_ _ _ z _,False,word_fuksi_question.png,10,False
33,word,äänne,17.0,Comic Sans MS,20,-15,0.5,word_äänne.png,_ _ _ n _,True,word_äänne_question.png,10,True
34,word,someen,14.0,Comic Sans MS,40,0,0.35,word_someen.png,_ c _ _ _ _,False,word_someen_question.png,10,False
35,word,jymy,7.0,Comic Sans MS,40,-15,0.35,word_jymy.png,_ _ _ y,True,word_jymy_question.png,10,False
36,symbols,^o^so,,DejaVu Sans,30,0,0.5,symbols_^o^so.png,_ _ o _ _,False,symbols_^o^so_question.png,30,False
37,symbols,sddo,,DejaVu Sans,20,-15,0.5,symbols_sddo.png,_ v _ _,False,symbols_sddo_question.png,30,False
38,consonants,vtkdtx,,Comic Sans MS,30,0,0.35,consonants_vtkdtx.png,_ _ c _ _ _,False,consonants_vtkdtx_question.png,20,False
39,consonants,dzvxq,,Comic Sans MS,40,15,0.5,consonants_dzvxq.png,_ _ _ _ q,True,consonants_dzvxq_question.png,20,False
40,word,kysta,76.0,Times New Roman,40,0,0.35,word_kysta.png,_ _ _ ü _,False,word_kysta_question.png,10,False
41,word,tykö,1696.0,Times New Roman,20,15,0.5,word_tykö.png,_ _ h _,False,word_tykö_question.png,10,True
42,word,lempo,61.0,Times New Roman,20,-15,0.35,word_lempo.png,_ e _ _ _,True,word_lempo_question.png,10,False
43,word,kolvi,10.0,Impact,30,0,0.35,word_kolvi.png,_ ü _ _ _,False,word_kolvi_question.png,10,False
44,word,rämä,52.0,Impact,30,15,0.2,word_rämä.png,_ h _ _,False,word_rämä_question.png,10,False
45,consonants,qmff,,Comic Sans MS,30,15,0.5,consonants_qmff.png,_ m _ _,True,consonants_qmff_question.png,20,False
46,word,uuma,5.0,Comic Sans MS,40,0,0.2,word_uuma.png,_ u _ _,True,word_uuma_question.png,10,True
47,word,rukki,10.0,Times New Roman,30,-15,0.2,word_rukki.png,_ _ _ _ i,True,word_rukki_question.png,10,False
48,symbols,vvovov,,DejaVu Sans,40,0,0.5,symbols_vvovov.png,_ ^ _ _ _ _,False,symbols_vvovov_question.png,30,False
49,word,fotoni,56.0,Comic Sans MS,30,-15,0.5,word_fotoni.png,e _ _ _ _ _,False,word_fotoni_question.png,10,False
50,word,salvaa,90.0,Impact,40,0,0.5,word_salvaa.png,u _ _ _ _ _,False,word_salvaa_question.png,10,True
51,word,ähky,19.0,Impact,40,-15,0.2,word_ähky.png,_ d _ _,False,word_ähky_question.png,10,False
52,word,nurja,11.0,Times New Roman,30,-15,0.5,word_nurja.png,_ _ _ _ a,True,word_nurja_question.png,10,False
53,consonants,svks,,Impact,30,15,0.35,consonants_svks.png,q _ _ _,False,consonants_svks_question.png,20,False
54,word,lotja,18.0,Impact,30,-15,0.5,word_lotja.png,_ s _ _ _,False,word_lotja_question.png,10,False
55,consonants,scgxmk,,Times New Roman,30,15,0.5,consonants_scgxmk.png,_ _ _ b _ _,False,consonants_scgxmk_question.png,20,False
56,word,räme,50.0,Comic Sans MS,20,0,0.35,word_räme.png,_ i _ _,False,word_räme_question.png,10,False
57,symbols,sdsvs,,DejaVu Sans,40,15,0.5,symbols_sdsvs.png,_ d _ _ _,True,symbols_sdsvs_question.png,30,True
58,consonants,lgtjb,,Comic Sans MS,30,15,0.2,consonants_lgtjb.png,_ _ _ _ z,False,consonants_lgtjb_question.png,20,False
59,word,stoola,8.0,Impact,20,15,0.2,word_stoola.png,_ t _ _ _ _,True,word_stoola_question.png,10,False
60,word,lähi,100.0,Comic Sans MS,20,-15,0.5,word_lähi.png,_ _ _ ö,False,word_lähi_question.png,10,False
61,consonants,xkfvmb,,Impact,20,15,0.2,consonants_xkfvmb.png,_ _ _ _ x _,False,consonants_xkfvmb_question.png,20,False
62,symbols,sdosd,,DejaVu Sans,20,15,0.2,symbols_sdosd.png,_ _ _ _ s,False,symbols_sdosd_question.png,30,False
63,consonants,qpvbs,,Impact,40,-15,0.35,consonants_qpvbs.png,_ _ v _ _,True,consonants_qpvbs_question.png,20,False
64,word,kohu,172.0,Times New Roman,30,0,0.2,word_kohu.png,_ _ _ u,True,word_kohu_question.png,10,False
65,word,isyys,88.0,Comic Sans MS,30,15,0.35,word_isyys.png,_ _ x _ _,False,word_isyys_question.png,10,True
66,consonants,gcfj,,Impact,20,0,0.35,consonants_gcfj.png,_ _ l _,False,consonants_gcfj_question.png,20,False
67,word,motata,156.0,Times New Roman,30,15,0.5,word_motata.png,x _ _ _ _ _,False,word_motata_question.png,10,False
68,word,yöpyä,875.0,Times New Roman,40,-15,0.2,word_yöpyä.png,y _ _ _ _,True,word_yöpyä_question.png,10,False
69,symbols,sdsosv,,DejaVu Sans,20,0,0.5,symbols_sdsosv.png,s _ _ _ _ _,True,symbols_sdsosv_question.png,30,True
70,word,suippo,26.0,Times New Roman,40,-15,0.35,word_suippo.png,_ _ _ p _ _,True,word_suippo_question.png,10,False
71,word,kuskus,16.0,Comic Sans MS,40,-15,0.2,word_kuskus.png,k _ _ _ _ _,True,word_kuskus_question.png,10,False
72,consonants,tkcqd,,Impact,20,15,0.35,consonants_tkcqd.png,_ _ _ _ d,True,consonants_tkcqd_question.png,20,False
73,word,uuni,372.0,Impact,40,0,0.35,word_uuni.png,n _ _ _,False,word_uuni_question.png,10,False
74,word,kyteä,8.0,Impact,40,15,0.2,word_kyteä.png,_ _ _ _ ä,True,word_kyteä_question.png,10,False
75,consonants,xggtw,,Times New Roman,20,-15,0.2,consonants_xggtw.png,_ _ _ _ w,True,consonants_xggtw_question.png,20,False
76,word,häkä,88.0,Impact,20,-15,0.35,word_häkä.png,h _ _ _,True,word_häkä_question.png,10,False
77,symbols,dvsvos,,DejaVu Sans,40,-15,0.2,symbols_dvsvos.png,_ _ _ d _ _,False,symbols_dvsvos_question.png,30,True
78,symbols,^s^sso,,DejaVu Sans,20,0,0.2,symbols_^s^sso.png,_ _ _ o _ _,False,symbols_^s^sso_question.png,30,False
79,word,nurin,1001.0,Times New Roman,20,-15,0.5,word_nurin.png,_ _ _ _ l,False,word_nurin_question.png,10,False
80,consonants,qmncn,,Impact,20,-15,0.2,consonants_qmncn.png,_ m _ _ _,True,consonants_qmncn_question.png,20,True
81,word,sikhi,15.0,Comic Sans MS,30,0,0.2,word_sikhi.png,h _ _ _ _,False,word_sikhi_question.png,10,False
82,word,känsä,12.0,Impact,30,-15,0.35,word_känsä.png,a _ _ _ _,False,word_känsä_question.png,10,False
83,word,tyvi,8.0,Comic Sans MS,40,15,0.35,word_tyvi.png,_ d _ _,False,word_tyvi_question.png,10,False
84,consonants,vlptrn,,Times New Roman,20,-15,0.35,consonants_vlptrn.png,_ _ _ c _ _,False,consonants_vlptrn_question.png,20,False
85,word,osinko,6.0,Times New Roman,30,-15,0.35,word_osinko.png,_ _ _ y _ _,False,word_osinko_question.png,10,False
86,word,suti,37.0,Times New Roman,40,15,0.35,word_suti.png,_ z _ _,False,word_suti_question.png,10,False
87,word,nieriä,5.0,Times New Roman,20,0,0.2,word_nieriä.png,_ i _ _ _ _,True,word_nieriä_question.png,10,False
88,symbols,vvsod,,DejaVu Sans,40,-15,0.5,symbols_vvsod.png,_ _ _ o _,True,symbols_vvsod_question.png,30,False
89,consonants,ksrwvk,,Impact,20,-15,0.35,consonants_ksrwvk.png,r _ _ _ _ _,False,consonants_ksrwvk_question.png,20,True
90,symbols,oo^v,,DejaVu Sans,40,15,0.2,symbols_oo^v.png,o _ _ _,True,symbols_oo^v_question.png,30,False
91,word,siitos,12.0,Comic Sans MS,30,-15,0.2,word_siitos.png,i _ _ _ _ _,False,word_siitos_question.png,10,False
92,symbols,vsd^o,,DejaVu Sans,20,15,0.35,symbols_vsd^o.png,_ s _ _ _,True,symbols_vsd^o_question.png,30,False
93,word,osuma,1083.0,Times New Roman,40,-15,0.5,word_osuma.png,_ q _ _ _,False,word_osuma_question.png,10,False
94,consonants,qckq,,Times New Roman,20,0,0.35,consonants_qckq.png,_ _ _ q,True,consonants_qckq_question.png,20,True
95,symbols,v^vsov,,DejaVu Sans,40,0,0.5,symbols_v^vsov.png,_ _ d _ _ _,False,symbols_v^vsov_question.png,30,False
96,word,kopio,1837.0,Times New Roman,30,15,0.35,word_kopio.png,_ _ _ _ o,True,word_kopio_question.png,10,False
97,symbols,vsv^,,DejaVu Sans,20,15,0.5,symbols_vsv^.png,_ s _ _,True,symbols_vsv^_question.png,30,False
98,word,solmio,761.0,Impact,40,-15,0.2,word_solmio.png,_ _ l _ _ _,True,word_solmio_question.png,10,False
99,word,myyty,1849.0,Times New Roman,20,15,0.35,word_myyty.png,m _ _ _ _,True,word_myyty_question.png,10,False
100,word,uivelo,6.0,Times New Roman,20,0,0.5,word_uivelo.png,_ _ _ _ _ o,True,word_uivelo_question.png,10,False
101,consonants,rtsgdh,,Times New Roman,40,0,0.5,consonants_rtsgdh.png,r _ _ _ _ _,True,consonants_rtsgdh_question.png,20,True
102,word,opaali,12.0,Impact,40,-15,0.5,word_opaali.png,o _ _ _ _ _,True,word_opaali_question.png,10,False
103,word,hihna,249.0,Comic Sans MS,20,-15,0.2,word_hihna.png,_ _ _ ü _,False,word_hihna_question.png,10,False
104,word,kopina,7.0,Times New Roman,40,0,0.35,word_kopina.png,_ _ _ f _ _,False,word_kopina_question.png,10,False
105,consonants,wcjrjq,,Impact,20,0,0.5,consonants_wcjrjq.png,w _ _ _ _ _,True,consonants_wcjrjq_question.png,20,True
106,word,näppy,15.0,Impact,30,0,0.5,word_näppy.png,_ _ u _ _,False,word_näppy_question.png,10,False
107,symbols,ddvsd,,DejaVu Sans,40,0,0.2,symbols_ddvsd.png,_ _ ^ _ _,False,symbols_ddvsd_question.png,30,False
108,word,jakaja,177.0,Comic Sans MS,20,15,0.2,word_jakaja.png,_ x _ _ _ _,False,word_jakaja_question.png,10,False
109,consonants,rfrqfp,,Comic Sans MS,30,-15,0.2,consonants_rfrqfp.png,_ f _ _ _ _,True,consonants_rfrqfp_question.png,20,False
110,consonants,fwgntw,,Impact,30,0,0.2,consonants_fwgntw.png,_ _ j _ _ _,False,consonants_fwgntw_question.png,20,False
111,symbols,o^v^,,DejaVu Sans,40,15,0.5,symbols_o^v^.png,_ _ _ s,False,symbols_o^v^_question.png,30,False
112,word,pidot,128.0,Comic Sans MS,30,15,0.35,word_pidot.png,_ _ d _ _,True,word_pidot_question.png,10,False
113,word,ripeä,50.0,Impact,30,15,0.35,word_ripeä.png,_ _ p _ _,True,word_ripeä_question.png,10,True
114,word,ratamo,5.0,Comic Sans MS,30,0,0.35,word_ratamo.png,_ _ t _ _ _,True,word_ratamo_question.png,10,False
115,word,kaapia,67.0,Comic Sans MS,20,15,0.5,word_kaapia.png,k _ _ _ _ _,True,word_kaapia_question.png,10,False
116,consonants,hqzll,,Impact,20,-15,0.2,consonants_hqzll.png,_ q _ _ _,True,consonants_hqzll_question.png,20,False
117,word,rapsi,5.0,Impact,30,15,0.2,word_rapsi.png,_ _ _ s _,True,word_rapsi_question.png,10,False
118,word,almu,39.0,Comic Sans MS,40,15,0.5,word_almu.png,a _ _ _,True,word_almu_question.png,10,True
119,word,jaardi,12.0,Comic Sans MS,40,-15,0.5,word_jaardi.png,_ _ _ _ _ e,False,word_jaardi_question.png,10,False
120,word,silsa,13.0,Impact,40,0,0.5,word_silsa.png,_ p _ _ _,False,word_silsa_question.png,10,False
121,symbols,svds,,DejaVu Sans,20,0,0.2,symbols_svds.png,v _ _ _,False,symbols_svds_question.png,30,False
122,word,torium,12.0,Comic Sans MS,40,-15,0.35,word_torium.png,_ _ _ _ _ m,True,word_torium_question.png,10,False
123,symbols,d^v^^,,DejaVu Sans,20,-15,0.2,symbols_d^v^^.png,d _ _ _ _,True,symbols_d^v^^_question.png,30,False
124,symbols,osdod^,,DejaVu Sans,40,-15,0.5,symbols_osdod^.png,_ _ _ _ s _,False,symbols_osdod^_question.png,30,True
125,symbols,voo^o,,DejaVu Sans,40,0,0.5,symbols_voo^o.png,_ o _ _ _,True,symbols_voo^o_question.png,30,False
126,consonants,czkdbs,,Times New Roman,30,15,0.2,consonants_czkdbs.png,_ z _ _ _ _,True,consonants_czkdbs_question.png,20,False
127,consonants,dlgt,,Impact,20,15,0.2,consonants_dlgt.png,_ _ x _,False,consonants_dlgt_question.png,20,False
128,consonants,xxqhnz,,Comic Sans MS,40,-15,0.35,consonants_xxqhnz.png,_ _ _ _ _ x,False,consonants_xxqhnz_question.png,20,True
129,word,emätin,57.0,Impact,30,15,0.5,word_emätin.png,c _ _ _ _ _,False,word_emätin_question.png,10,False
130,word,pitäen,748.0,Comic Sans MS,20,-15,0.2,word_pitäen.png,_ _ _ a _ _,False,word_pitäen_question.png,10,False
131,word,arpoa,35.0,Comic Sans MS,30,15,0.2,word_arpoa.png,_ _ _ o _,True,word_arpoa_question.png,10,False
132,word,rulla,88.0,Comic Sans MS,30,15,0.5,word_rulla.png,_ _ w _ _,False,word_rulla_question.png,10,False
133,symbols,vs^oo,,DejaVu Sans,20,-15,0.35,symbols_vs^oo.png,_ s _ _ _,True,symbols_vs^oo_question.png,30,False
134,word,pesin,596.0,Impact,20,-15,0.5,word_pesin.png,_ _ _ _ n,True,word_pesin_question.png,10,False
135,symbols,^o^o^v,,DejaVu Sans,40,-15,0.2,symbols_^o^o^v.png,_ _ _ _ _ d,False,symbols_^o^o^v_question.png,30,True
136,consonants,cnwh,,Impact,30,-15,0.35,consonants_cnwh.png,_ n _ _,True,consonants_cnwh_question.png,20,False
137,consonants,zkxtf,,Impact,20,0,0.35,consonants_zkxtf.png,_ _ b _ _,False,consonants_zkxtf_question.png,20,False
138,word,lemu,294.0,Comic Sans MS,20,-15,0.35,word_lemu.png,_ _ v _,False,word_lemu_question.png,10,False
139,consonants,bgrzd,,Impact,20,0,0.2,consonants_bgrzd.png,b _ _ _ _,True,consonants_bgrzd_question.png,20,False
140,symbols,sovo,,DejaVu Sans,40,0,0.35,symbols_sovo.png,_ _ v _,True,symbols_sovo_question.png,30,True
141,symbols,^dss,,DejaVu Sans,30,15,0.2,symbols_^dss.png,_ _ v _,False,symbols_^dss_question.png,30,False
142,symbols,vv^^,,DejaVu Sans,30,15,0.5,symbols_vv^^.png,_ o _ _,False,symbols_vv^^_question.png,30,False
143,word,psalmi,81.0,Comic Sans MS,30,0,0.5,word_psalmi.png,q _ _ _ _ _,False,word_psalmi_question.png,10,False
144,consonants,hxjlgq,,Impact,20,-15,0.5,consonants_hxjlgq.png,_ _ _ _ _ x,False,consonants_hxjlgq_question.png,20,False
145,symbols,vvvd,,DejaVu Sans,30,-15,0.5,symbols_vvvd.png,^ _ _ _,False,symbols_vvvd_question.png,30,False
146,consonants,grgdd,,Comic Sans MS,30,-15,0.5,consonants_grgdd.png,_ x _ _ _,False,consonants_grgdd_question.png,20,False
147,consonants,gchqcz,,Times New Roman,30,-15,0.35,consonants_gchqcz.png,_ n _ _ _ _,False,consonants_gchqcz_question.png,20,False
148,consonants,jqdsmj,,Impact,40,-15,0.5,consonants_jqdsmj.png,_ _ _ _ _ m,False,consonants_jqdsmj_question.png,20,False
149,consonants,jxfm,,Times New Roman,30,15,0.35,consonants_jxfm.png,_ _ _ x,False,consonants_jxfm_question.png,20,True
150,word,oinas,74.0,Comic Sans MS,30,-15,0.2,word_oinas.png,o _ _ _ _,True,word_oinas_question.png,10,False
151,word,gongi,27.0,Comic Sans MS,40,-15,0.2,word_gongi.png,g _ _ _ _,True,word_gongi_question.png,10,False
152,symbols,dsvvd,,DejaVu Sans,20,0,0.35,symbols_dsvvd.png,_ _ _ _ d,True,symbols_dsvvd_question.png,30,False
153,consonants,tcftcg,,Comic Sans MS,30,-15,0.35,consonants_tcftcg.png,_ _ _ n _ _,False,consonants_tcftcg_question.png,20,True
154,consonants,vwrptk,,Times New Roman,40,-15,0.2,consonants_vwrptk.png,_ _ _ _ m _,False,consonants_vwrptk_question.png,20,False
155,consonants,mths,,Times New Roman,30,0,0.2,consonants_mths.png,_ _ _ h,False,consonants_mths_question.png,20,False
156,consonants,qwjvhz,,Impact,30,-15,0.2,consonants_qwjvhz.png,_ _ _ _ _ q,False,consonants_qwjvhz_question.png,20,False
157,symbols,ovo^s,,DejaVu Sans,20,15,0.35,symbols_ovo^s.png,_ d _ _ _,False,symbols_ovo^s_question.png,30,False
158,symbols,vvv^,,DejaVu Sans,30,-15,0.2,symbols_vvv^.png,v _ _ _,True,symbols_vvv^_question.png,30,False
159,symbols,^s^d,,DejaVu Sans,40,-15,0.35,symbols_^s^d.png,^ _ _ _,True,symbols_^s^d_question.png,30,True
160,word,uoma,17.0,Comic Sans MS,20,15,0.35,word_uoma.png,_ o _ _,True,word_uoma_question.png,10,False
161,consonants,ttjglk,,Comic Sans MS,20,-15,0.35,consonants_ttjglk.png,_ t _ _ _ _,True,consonants_ttjglk_question.png,20,False
162,consonants,mpvl,,Comic Sans MS,40,15,0.35,consonants_mpvl.png,_ _ _ m,False,consonants_mpvl_question.png,20,False
163,consonants,rmmrh,,Impact,30,0,0.35,consonants_rmmrh.png,_ m _ _ _,True,consonants_rmmrh_question.png,20,False
164,word,laukka,19.0,Comic Sans MS,20,15,0.5,word_laukka.png,_ _ u _ _ _,True,word_laukka_question.png,10,False
165,symbols,vovso,,DejaVu Sans,40,0,0.2,symbols_vovso.png,_ v _ _ _,False,symbols_vovso_question.png,30,True
166,consonants,zpcqc,,Impact,20,0,0.5,consonants_zpcqc.png,f _ _ _ _,False,consonants_zpcqc_question.png,20,False
167,consonants,ltqrr,,Comic Sans MS,40,15,0.2,consonants_ltqrr.png,l _ _ _ _,True,consonants_ltqrr_question.png,20,False
168,word,lakea,42.0,Times New Roman,30,15,0.5,word_lakea.png,_ _ _ e _,True,word_lakea_question.png,10,False
169,consonants,qvkjt,,Times New Roman,40,15,0.5,consonants_qvkjt.png,_ _ _ b _,False,consonants_qvkjt_question.png,20,False
170,symbols,ssdvo^,,DejaVu Sans,40,15,0.2,symbols_ssdvo^.png,s _ _ _ _ _,True,symbols_ssdvo^_question.png,30,False
171,word,afasia,31.0,Impact,20,-15,0.2,word_afasia.png,_ _ _ _ _ z,False,word_afasia_question.png,10,False
172,word,estyä,6.0,Impact,20,0,0.35,word_estyä.png,e _ _ _ _,True,word_estyä_question.png,10,True
173,word,hormi,15.0,Comic Sans MS,30,0,0.2,word_hormi.png,_ _ r _ _,True,word_hormi_question.png,10,False
174,symbols,^s^^,,DejaVu Sans,40,15,0.5,symbols_^s^^.png,_ _ ^ _,True,symbols_^s^^_question.png,30,False
175,word,urut,54.0,Times New Roman,40,0,0.5,word_urut.png,u _ _ _,True,word_urut_question.png,10,False
176,word,häpy,33.0,Impact,30,-15,0.2,word_häpy.png,_ z _ _,False,word_häpy_question.png,10,False
177,consonants,tdgw,,Times New Roman,20,0,0.2,consonants_tdgw.png,_ z _ _,False,consonants_tdgw_question.png,20,False
178,word,vahaus,61.0,Comic Sans MS,20,0,0.2,word_vahaus.png,_ _ _ _ _ s,True,word_vahaus_question.png,10,False
179,consonants,lblxm,,Impact,20,15,0.5,consonants_lblxm.png,_ _ x _ _,False,consonants_lblxm_question.png,20,True
180,word,tyköä,13.0,Impact,20,0,0.5,word_tyköä.png,z _ _ _ _,False,word_tyköä_question.png,10,False
181,symbols,ds^^o,,DejaVu Sans,20,15,0.35,symbols_ds^^o.png,_ _ ^ _ _,True,symbols_ds^^o_question.png,30,False
182,word,juhta,15.0,Times New Roman,20,15,0.35,word_juhta.png,_ _ o _ _,False,word_juhta_question.png,10,False
183,word,menijä,27.0,Comic Sans MS,20,15,0.2,word_menijä.png,_ _ u _ _ _,False,word_menijä_question.png,10,True
184,symbols,do^s,,DejaVu Sans,20,15,0.2,symbols_do^s.png,d _ _ _,True,symbols_do^s_question.png,30,False
185,word,nide,11.0,Comic Sans MS,40,15,0.2,word_nide.png,_ _ _ m,False,word_nide_question.png,10,False
186,symbols,sdsdoo,,DejaVu Sans,30,0,0.2,symbols_sdsdoo.png,^ _ _ _ _ _,False,symbols_sdsdoo_question.png,30,False
187,consonants,lhqt,,Times New Roman,20,15,0.5,consonants_lhqt.png,_ _ _ t,True,consonants_lhqt_question.png,20,False
188,word,häät,4190.0,Impact,20,15,0.5,word_häät.png,_ _ _ l,False,word_häät_question.png,10,True
189,consonants,mxnhh,,Impact,30,15,0.2,consonants_mxnhh.png,_ x _ _ _,True,consonants_mxnhh_question.png,20,False
190,word,ässä,775.0,Comic Sans MS,20,-15,0.35,word_ässä.png,_ _ _ c,False,word_ässä_question.png,10,False
191,word,pyörö,5.0,Impact,20,0,0.5,word_pyörö.png,_ _ t _ _,False,word_pyörö_question.png,10,False
192,word,kuje,36.0,Times New Roman,20,-15,0.2,word_kuje.png,_ _ z _,False,word_kuje_question.png,10,False
193,symbols,vsds,,DejaVu Sans,40,-15,0.35,symbols_vsds.png,_ _ d _,True,symbols_vsds_question.png,30,False
194,consonants,blkxwz,,Comic Sans MS,40,0,0.5,consonants_blkxwz.png,b _ _ _ _ _,True,consonants_blkxwz_question.png,20,False
195,symbols,svsod,,DejaVu Sans,30,0,0.35,symbols_svsod.png,_ _ s _ _,True,symbols_svsod_question.png,30,True
196,symbols,ovvds,,DejaVu Sans,20,-15,0.5,symbols_ovvds.png,_ v _ _ _,True,symbols_ovvds_question.png,30,False
197,word,sävy,345.0,Impact,30,0,0.2,word_sävy.png,_ _ e _,False,word_sävy_question.png,10,False
198,word,kiuas,9.0,Times New Roman,30,15,0.35,word_kiuas.png,_ _ _ _ s,True,word_kiuas_question.png,10,False
199,consonants,zjwhs,,Comic Sans MS,30,0,0.5,consonants_zjwhs.png,_ _ _ _ s,True,consonants_zjwhs_question.png,20,False
200,symbols,vvv^v,,DejaVu Sans,30,15,0.5,symbols_vvv^v.png,v _ _ _ _,True,symbols_vvv^v_question.png,30,True
201,word,tämä,575732.0,Comic Sans MS,30,-15,0.35,word_tämä.png,_ ä _ _,True,word_tämä_question.png,10,False
202,word,kortti,2634.0,Impact,20,0,0.2,word_kortti.png,_ _ _ t _ _,True,word_kortti_question.png,10,False
203,consonants,spmb,,Times New Roman,20,0,0.5,consonants_spmb.png,q _ _ _,False,consonants_spmb_question.png,20,False
204,symbols,sv^vvs,,DejaVu Sans,40,-15,0.35,symbols_sv^vvs.png,s _ _ _ _ _,True,symbols_sv^vvs_question.png,30,False
205,word,huorin,43.0,Times New Roman,30,0,0.5,word_huorin.png,g _ _ _ _ _,False,word_huorin_question.png,10,False
206,symbols,soov,,DejaVu Sans,30,15,0.35,symbols_soov.png,_ _ _ s,False,symbols_soov_question.png,30,False
207,consonants,zsgj,,Comic Sans MS,40,-15,0.2,consonants_zsgj.png,_ _ g _,True,consonants_zsgj_question.png,20,False
208,word,täällä,399497.0,Comic Sans MS,30,0,0.5,word_täällä.png,_ _ _ _ _ ü,False,word_täällä_question.png,10,False
209,word,vuoka,20.0,Times New Roman,20,0,0.35,word_vuoka.png,v _ _ _ _,True,word_vuoka_question.png,10,True
210,symbols,vvo^,,DejaVu Sans,40,-15,0.2,symbols_vvo^.png,_ _ _ ^,True,symbols_vvo^_question.png,30,False
211,word,uiva,29.0,Times New Roman,40,15,0.2,word_uiva.png,d _ _ _,False,word_uiva_question.png,10,False
212,symbols,dv^o,,DejaVu Sans,40,0,0.35,symbols_dv^o.png,_ _ _ o,True,symbols_dv^o_question.png,30,False
