,type,text,freq,font,fontsize,rotation,noise_level,filename,question,question_correct,question_filename,event_id,question_asked
32,consonants,zkwnr,,Impact,20,-15,0.2,consonants_zkwnr.png,_ k _ _ _,True,consonants_zkwnr_question.png,20,False
33,symbols,sovo,,DejaVu Sans,40,0,0.35,symbols_sovo.png,_ _ v _,True,symbols_sovo_question.png,30,True
34,consonants,dwzsrc,,Comic Sans MS,20,15,0.2,consonants_dwzsrc.png,_ _ _ l _ _,False,consonants_dwzsrc_question.png,20,False
35,word,poru,12.0,Times New Roman,20,0,0.2,word_poru.png,_ _ _ u,True,word_poru_question.png,10,False
36,word,kyhmy,97.0,Comic Sans MS,40,0,0.2,word_kyhmy.png,_ _ _ h _,False,word_kyhmy_question.png,10,False
37,word,ripsi,23.0,Impact,20,0,0.35,word_ripsi.png,r _ _ _ _,True,word_ripsi_question.png,10,False
38,symbols,dsovsd,,DejaVu Sans,40,15,0.2,symbols_dsovsd.png,_ _ _ _ _ ^,False,symbols_dsovsd_question.png,30,False
39,word,häpy,33.0,Impact,30,-15,0.2,word_häpy.png,_ z _ _,False,word_häpy_question.png,10,False
40,consonants,zsgj,,Comic Sans MS,40,15,0.35,consonants_zsgj.png,_ _ _ m,False,consonants_zsgj_question.png,20,True
41,word,syaani,10.0,Times New Roman,20,-15,0.5,word_syaani.png,s _ _ _ _ _,True,word_syaani_question.png,10,False
42,consonants,fbtsr,,Comic Sans MS,30,-15,0.5,consonants_fbtsr.png,_ x _ _ _,False,consonants_fbtsr_question.png,20,False
43,word,terska,7.0,Comic Sans MS,20,-15,0.35,word_terska.png,_ _ _ _ c _,False,word_terska_question.png,10,False
44,symbols,ssods,,DejaVu Sans,40,-15,0.5,symbols_ssods.png,_ _ _ d _,True,symbols_ssods_question.png,30,False
45,word,salaus,155.0,Times New Roman,30,15,0.2,word_salaus.png,_ a _ _ _ _,True,word_salaus_question.png,10,True
46,word,almu,39.0,Comic Sans MS,40,15,0.5,word_almu.png,a _ _ _,True,word_almu_question.png,10,False
47,consonants,hmff,,Times New Roman,40,15,0.2,consonants_hmff.png,_ k _ _,False,consonants_hmff_question.png,20,False
48,word,riimu,70.0,Comic Sans MS,20,15,0.35,word_riimu.png,_ _ i _ _,True,word_riimu_question.png,10,False
49,consonants,tdgw,,Times New Roman,20,15,0.5,consonants_tdgw.png,_ _ _ w,True,consonants_tdgw_question.png,20,False
50,consonants,rmmrh,,Impact,30,15,0.2,consonants_rmmrh.png,_ m _ _ _,True,consonants_rmmrh_question.png,20,True
51,consonants,vtkdtx,,Impact,30,0,0.2,consonants_vtkdtx.png,_ _ h _ _ _,False,consonants_vtkdtx_question.png,20,False
52,word,hioa,318.0,Times New Roman,40,0,0.2,word_hioa.png,_ _ p _,False,word_hioa_question.png,10,False
53,consonants,sqdq,,Comic Sans MS,40,0,0.35,consonants_sqdq.png,b _ _ _,False,consonants_sqdq_question.png,20,False
54,word,köli,27.0,Comic Sans MS,20,-15,0.2,word_köli.png,_ _ _ d,False,word_köli_question.png,10,False
55,word,räntä,11.0,Comic Sans MS,40,0,0.35,word_räntä.png,r _ _ _ _,True,word_räntä_question.png,10,False
56,symbols,vdvv,,DejaVu Sans,40,-15,0.35,symbols_vdvv.png,v _ _ _,True,symbols_vdvv_question.png,30,False
57,word,kolvi,10.0,Impact,30,0,0.35,word_kolvi.png,_ ü _ _ _,False,word_kolvi_question.png,10,True
58,word,odote,20.0,Comic Sans MS,20,0,0.5,word_odote.png,_ _ _ _ j,False,word_odote_question.png,10,False
59,consonants,btmk,,Times New Roman,30,0,0.5,consonants_btmk.png,_ _ m _,True,consonants_btmk_question.png,20,False
60,symbols,sovssd,,DejaVu Sans,40,0,0.35,symbols_sovssd.png,_ _ d _ _ _,False,symbols_sovssd_question.png,30,False
61,word,kuje,36.0,Times New Roman,20,-15,0.2,word_kuje.png,_ _ z _,False,word_kuje_question.png,10,False
62,word,lohi,218.0,Times New Roman,30,0,0.35,word_lohi.png,_ _ q _,False,word_lohi_question.png,10,False
63,consonants,lcrzjb,,Times New Roman,30,15,0.5,consonants_lcrzjb.png,_ _ _ b _ _,False,consonants_lcrzjb_question.png,20,True
64,word,kyteä,8.0,Impact,40,15,0.2,word_kyteä.png,_ _ _ _ ä,True,word_kyteä_question.png,10,False
65,consonants,lxtgwm,,Impact,40,15,0.35,consonants_lxtgwm.png,_ _ _ _ _ k,False,consonants_lxtgwm_question.png,20,False
66,word,jänne,68.0,Times New Roman,20,-15,0.2,word_jänne.png,_ _ _ p _,False,word_jänne_question.png,10,False
67,consonants,rwfcq,,Impact,20,15,0.5,consonants_rwfcq.png,_ _ x _ _,False,consonants_rwfcq_question.png,20,False
68,consonants,bjwqk,,Times New Roman,40,-15,0.35,consonants_bjwqk.png,b _ _ _ _,True,consonants_bjwqk_question.png,20,False
69,word,noppa,85.0,Comic Sans MS,40,0,0.5,word_noppa.png,_ _ _ ü _,False,word_noppa_question.png,10,False
70,symbols,ovo^s,,DejaVu Sans,20,15,0.35,symbols_ovo^s.png,_ d _ _ _,False,symbols_ovo^s_question.png,30,False
71,consonants,zdvv,,Impact,20,0,0.2,consonants_zdvv.png,_ _ _ v,True,consonants_zdvv_question.png,20,True
72,word,ilmi,3063.0,Impact,20,15,0.35,word_ilmi.png,_ _ _ i,True,word_ilmi_question.png,10,False
73,word,lemu,294.0,Comic Sans MS,20,-15,0.35,word_lemu.png,_ _ v _,False,word_lemu_question.png,10,False
74,symbols,s^od,,DejaVu Sans,40,-15,0.35,symbols_s^od.png,_ _ o _,True,symbols_s^od_question.png,30,False
75,symbols,^osd,,DejaVu Sans,30,-15,0.5,symbols_^osd.png,d _ _ _,False,symbols_^osd_question.png,30,True
76,symbols,s^s^s,,DejaVu Sans,40,0,0.5,symbols_s^s^s.png,_ v _ _ _,False,symbols_s^s^s_question.png,30,False
77,word,mäntä,66.0,Impact,20,15,0.35,word_mäntä.png,_ ä _ _ _,True,word_mäntä_question.png,10,False
78,word,tyköä,13.0,Impact,20,0,0.5,word_tyköä.png,z _ _ _ _,False,word_tyköä_question.png,10,False
79,consonants,gnbtn,,Comic Sans MS,40,0,0.2,consonants_gnbtn.png,g _ _ _ _,True,consonants_gnbtn_question.png,20,False
80,consonants,xgtt,,Impact,20,0,0.35,consonants_xgtt.png,_ _ k _,False,consonants_xgtt_question.png,20,False
81,symbols,ds^^o,,DejaVu Sans,40,0,0.5,symbols_ds^^o.png,_ s _ _ _,True,symbols_ds^^o_question.png,30,False
82,consonants,qgjwzq,,Times New Roman,20,-15,0.5,consonants_qgjwzq.png,w _ _ _ _ _,False,consonants_qgjwzq_question.png,20,True
83,symbols,s^vo,,DejaVu Sans,40,15,0.5,symbols_s^vo.png,_ _ v _,True,symbols_s^vo_question.png,30,False
84,word,nirso,270.0,Impact,40,15,0.2,word_nirso.png,_ d _ _ _,False,word_nirso_question.png,10,False
85,consonants,qvkjt,,Times New Roman,40,-15,0.5,consonants_qvkjt.png,q _ _ _ _,True,consonants_qvkjt_question.png,20,False
86,word,jaardi,12.0,Comic Sans MS,40,-15,0.5,word_jaardi.png,_ _ _ _ _ e,False,word_jaardi_question.png,10,True
87,word,syöpyä,10.0,Comic Sans MS,20,15,0.35,word_syöpyä.png,_ a _ _ _ _,False,word_syöpyä_question.png,10,False
88,consonants,gchqcz,,Impact,20,0,0.5,consonants_gchqcz.png,g _ _ _ _ _,True,consonants_gchqcz_question.png,20,False
89,symbols,vo^^,,DejaVu Sans,40,15,0.5,symbols_vo^^.png,_ _ ^ _,True,symbols_vo^^_question.png,30,False
90,consonants,bwdz,,Comic Sans MS,40,-15,0.2,consonants_bwdz.png,_ _ d _,True,consonants_bwdz_question.png,20,False
91,word,kuskus,16.0,Comic Sans MS,40,-15,0.2,word_kuskus.png,k _ _ _ _ _,True,word_kuskus_question.png,10,False
92,word,salvaa,90.0,Impact,40,0,0.5,word_salvaa.png,u _ _ _ _ _,False,word_salvaa_question.png,10,False
93,consonants,kphwjz,,Comic Sans MS,30,-15,0.35,consonants_kphwjz.png,_ _ _ n _ _,False,consonants_kphwjz_question.png,20,False
94,consonants,zpcqc,,Comic Sans MS,30,15,0.35,consonants_zpcqc.png,_ _ _ _ c,True,consonants_zpcqc_question.png,20,True
95,word,kiuas,9.0,Times New Roman,30,15,0.35,word_kiuas.png,_ _ _ _ s,True,word_kiuas_question.png,10,False
96,symbols,vv^^,,DejaVu Sans,20,0,0.2,symbols_vv^^.png,s _ _ _,False,symbols_vv^^_question.png,30,False
97,symbols,oo^vdv,,DejaVu Sans,40,-15,0.35,symbols_oo^vdv.png,o _ _ _ _ _,True,symbols_oo^vdv_question.png,30,False
98,word,nide,11.0,Comic Sans MS,40,15,0.2,word_nide.png,_ _ _ m,False,word_nide_question.png,10,False
99,consonants,xwnh,,Impact,30,15,0.35,consonants_xwnh.png,q _ _ _,False,consonants_xwnh_question.png,20,False
100,symbols,vdso,,DejaVu Sans,40,15,0.2,symbols_vdso.png,v _ _ _,True,symbols_vdso_question.png,30,True
101,symbols,vs^vds,,DejaVu Sans,40,15,0.35,symbols_vs^vds.png,_ _ _ _ d _,True,symbols_vs^vds_question.png,30,False
102,consonants,mkfz,,Impact,30,-15,0.35,consonants_mkfz.png,_ k _ _,True,consonants_mkfz_question.png,20,False
103,symbols,svvd,,DejaVu Sans,30,0,0.35,symbols_svvd.png,_ v _ _,True,symbols_svvd_question.png,30,False
104,word,rulla,88.0,Comic Sans MS,30,15,0.5,word_rulla.png,_ _ w _ _,False,word_rulla_question.png,10,True
105,word,karies,7.0,Impact,30,15,0.35,word_karies.png,_ _ _ i _ _,True,word_karies_question.png,10,False
106,word,sopu,74.0,Impact,40,0,0.2,word_sopu.png,_ c _ _,False,word_sopu_question.png,10,False
107,symbols,dsdoo^,,DejaVu Sans,30,0,0.5,symbols_dsdoo^.png,_ _ _ v _ _,False,symbols_dsdoo^_question.png,30,False
108,symbols,dssddd,,DejaVu Sans,40,-15,0.5,symbols_dssddd.png,_ _ _ _ ^ _,False,symbols_dssddd_question.png,30,False
109,word,vaje,37.0,Times New Roman,40,15,0.5,word_vaje.png,_ a _ _,True,word_vaje_question.png,10,False
110,word,klaava,357.0,Comic Sans MS,40,15,0.35,word_klaava.png,_ e _ _ _ _,False,word_klaava_question.png,10,True
111,word,tykö,1696.0,Times New Roman,20,15,0.5,word_tykö.png,_ _ h _,False,word_tykö_question.png,10,False
112,symbols,vovso,,DejaVu Sans,30,15,0.5,symbols_vovso.png,v _ _ _ _,True,symbols_vovso_question.png,30,False
113,symbols,doosv,,DejaVu Sans,40,0,0.2,symbols_doosv.png,_ _ ^ _ _,False,symbols_doosv_question.png,30,False
114,consonants,blkxwz,,Impact,30,0,0.5,consonants_blkxwz.png,_ _ _ _ w _,True,consonants_blkxwz_question.png,20,False
115,word,möly,10.0,Comic Sans MS,40,0,0.5,word_möly.png,_ _ _ y,True,word_möly_question.png,10,False
116,word,puida,77.0,Comic Sans MS,20,-15,0.5,word_puida.png,_ _ _ t _,False,word_puida_question.png,10,False
117,symbols,ovdvd,,DejaVu Sans,20,15,0.2,symbols_ovdvd.png,_ _ _ _ s,False,symbols_ovdvd_question.png,30,True
118,symbols,^s^s,,DejaVu Sans,30,0,0.2,symbols_^s^s.png,^ _ _ _,True,symbols_^s^s_question.png,30,False
119,symbols,^d^^d,,DejaVu Sans,30,0,0.5,symbols_^d^^d.png,_ _ o _ _,False,symbols_^d^^d_question.png,30,False
120,word,isyys,88.0,Comic Sans MS,30,15,0.35,word_isyys.png,_ _ x _ _,False,word_isyys_question.png,10,False
121,consonants,ndsvw,,Comic Sans MS,20,0,0.5,consonants_ndsvw.png,_ _ _ v _,True,consonants_ndsvw_question.png,20,False
122,word,loraus,56.0,Impact,20,-15,0.2,word_loraus.png,_ o _ _ _ _,True,word_loraus_question.png,10,False
123,word,näkö,506.0,Times New Roman,30,-15,0.5,word_näkö.png,n _ _ _,True,word_näkö_question.png,10,False
124,symbols,s^^d,,DejaVu Sans,20,0,0.5,symbols_s^^d.png,_ ^ _ _,True,symbols_s^^d_question.png,30,True
125,word,myyty,1849.0,Times New Roman,20,15,0.35,word_myyty.png,m _ _ _ _,True,word_myyty_question.png,10,False
126,word,kaapia,67.0,Comic Sans MS,20,15,0.5,word_kaapia.png,k _ _ _ _ _,True,word_kaapia_question.png,10,False
127,word,uuhi,17.0,Impact,40,0,0.2,word_uuhi.png,_ _ _ z,False,word_uuhi_question.png,10,False
128,symbols,sodvdv,,DejaVu Sans,20,0,0.2,symbols_sodvdv.png,_ _ _ o _ _,False,symbols_sodvdv_question.png,30,False
129,word,äänes,18.0,Comic Sans MS,40,15,0.2,word_äänes.png,_ ä _ _ _,True,word_äänes_question.png,10,False
130,word,kihu,7.0,Impact,30,0,0.5,word_kihu.png,d _ _ _,False,word_kihu_question.png,10,True
131,symbols,vsd^ds,,DejaVu Sans,40,-15,0.2,symbols_vsd^ds.png,_ _ _ o _ _,False,symbols_vsd^ds_question.png,30,False
132,consonants,tkcqd,,Impact,20,0,0.2,consonants_tkcqd.png,t _ _ _ _,True,consonants_tkcqd_question.png,20,False
133,word,stoola,8.0,Impact,20,15,0.2,word_stoola.png,_ t _ _ _ _,True,word_stoola_question.png,10,False
134,symbols,vssd,,DejaVu Sans,20,-15,0.5,symbols_vssd.png,_ v _ _,False,symbols_vssd_question.png,30,False
135,word,iäti,265.0,Impact,30,0,0.35,word_iäti.png,_ _ _ i,True,word_iäti_question.png,10,False
136,consonants,ttjglk,,Impact,20,-15,0.35,consonants_ttjglk.png,_ _ _ n _ _,False,consonants_ttjglk_question.png,20,False
137,consonants,zfjxqk,,Times New Roman,20,15,0.35,consonants_zfjxqk.png,d _ _ _ _ _,False,consonants_zfjxqk_question.png,20,True
138,word,vahaus,61.0,Comic Sans MS,20,0,0.2,word_vahaus.png,_ _ _ _ _ s,True,word_vahaus_question.png,10,False
139,symbols,^^^os,,DejaVu Sans,20,15,0.5,symbols_^^^os.png,_ ^ _ _ _,True,symbols_^^^os_question.png,30,False
140,word,älytä,26.0,Impact,30,-15,0.35,word_älytä.png,_ _ _ _ ä,True,word_älytä_question.png,10,False
141,consonants,dxfxv,,Impact,20,0,0.5,consonants_dxfxv.png,g _ _ _ _,False,consonants_dxfxv_question.png,20,True
142,word,tyrä,65.0,Comic Sans MS,30,0,0.2,word_tyrä.png,u _ _ _,False,word_tyrä_question.png,10,False
143,word,itää,179.0,Comic Sans MS,30,15,0.5,word_itää.png,_ t _ _,True,word_itää_question.png,10,False
144,consonants,bhsx,,Times New Roman,20,0,0.5,consonants_bhsx.png,r _ _ _,False,consonants_bhsx_question.png,20,False
145,symbols,^so^d,,DejaVu Sans,20,-15,0.5,symbols_^so^d.png,_ s _ _ _,True,symbols_^so^d_question.png,30,False
146,word,sävy,345.0,Impact,30,0,0.2,word_sävy.png,_ _ e _,False,word_sävy_question.png,10,False
147,word,druidi,116.0,Comic Sans MS,40,-15,0.5,word_druidi.png,_ _ r _ _ _,False,word_druidi_question.png,10,False
148,symbols,dv^od,,DejaVu Sans,20,0,0.35,symbols_dv^od.png,_ _ _ _ d,True,symbols_dv^od_question.png,30,True
149,symbols,v^vsov,,DejaVu Sans,20,0,0.2,symbols_v^vsov.png,_ _ _ _ _ d,False,symbols_v^vsov_question.png,30,False
150,consonants,tcfwdr,,Comic Sans MS,20,-15,0.35,consonants_tcfwdr.png,_ c _ _ _ _,True,consonants_tcfwdr_question.png,20,False
151,word,ilkiö,29.0,Times New Roman,30,0,0.2,word_ilkiö.png,_ _ _ _ ö,True,word_ilkiö_question.png,10,False
152,symbols,^sodvv,,DejaVu Sans,20,15,0.2,symbols_^sodvv.png,_ _ _ d _ _,True,symbols_^sodvv_question.png,30,False
153,word,otsoni,17.0,Times New Roman,30,0,0.35,word_otsoni.png,_ _ _ _ ü _,False,word_otsoni_question.png,10,True
154,symbols,svvssv,,DejaVu Sans,30,0,0.35,symbols_svvssv.png,_ _ _ _ s _,True,symbols_svvssv_question.png,30,False
155,symbols,^ddv,,DejaVu Sans,40,0,0.35,symbols_^ddv.png,_ _ _ v,True,symbols_^ddv_question.png,30,False
156,word,pyörö,5.0,Impact,20,0,0.5,word_pyörö.png,_ _ t _ _,False,word_pyörö_question.png,10,False
157,word,vuoka,20.0,Times New Roman,20,0,0.35,word_vuoka.png,v _ _ _ _,True,word_vuoka_question.png,10,False
158,consonants,bzhkd,,Times New Roman,30,-15,0.5,consonants_bzhkd.png,_ l _ _ _,False,consonants_bzhkd_question.png,20,False
159,word,shiia,9.0,Comic Sans MS,20,15,0.2,word_shiia.png,z _ _ _ _,False,word_shiia_question.png,10,False
160,consonants,lhqt,,Times New Roman,20,0,0.35,consonants_lhqt.png,_ _ _ t,True,consonants_lhqt_question.png,20,False
161,symbols,vovdsv,,DejaVu Sans,30,15,0.2,symbols_vovdsv.png,_ _ _ _ _ v,True,symbols_vovdsv_question.png,30,True
162,consonants,rrwj,,Times New Roman,30,-15,0.2,consonants_rrwj.png,_ _ w _,True,consonants_rrwj_question.png,20,False
163,symbols,sdvsv,,DejaVu Sans,30,-15,0.2,symbols_sdvsv.png,_ d _ _ _,True,symbols_sdvsv_question.png,30,False
164,word,känsä,12.0,Impact,30,-15,0.35,word_känsä.png,a _ _ _ _,False,word_känsä_question.png,10,False
165,word,sikhi,15.0,Comic Sans MS,30,0,0.2,word_sikhi.png,h _ _ _ _,False,word_sikhi_question.png,10,False
166,word,hamaan,86.0,Comic Sans MS,20,0,0.5,word_hamaan.png,_ _ _ _ ä _,False,word_hamaan_question.png,10,False
167,consonants,spmb,,Impact,20,15,0.5,consonants_spmb.png,_ _ m _,True,consonants_spmb_question.png,20,True
168,symbols,so^^v,,DejaVu Sans,20,0,0.35,symbols_so^^v.png,_ _ _ ^ _,True,symbols_so^^v_question.png,30,False
169,symbols,^vvs^s,,DejaVu Sans,40,15,0.2,symbols_^vvs^s.png,^ _ _ _ _ _,True,symbols_^vvs^s_question.png,30,False
170,word,ripeä,50.0,Impact,30,15,0.35,word_ripeä.png,_ _ p _ _,True,word_ripeä_question.png,10,False
171,consonants,jdfjs,,Times New Roman,30,0,0.35,consonants_jdfjs.png,z _ _ _ _,False,consonants_jdfjs_question.png,20,False
172,symbols,os^ood,,DejaVu Sans,30,0,0.2,symbols_os^ood.png,^ _ _ _ _ _,False,symbols_os^ood_question.png,30,True
173,consonants,tlzr,,Comic Sans MS,20,-15,0.5,consonants_tlzr.png,_ l _ _,True,consonants_tlzr_question.png,20,False
174,word,nieriä,5.0,Times New Roman,20,0,0.2,word_nieriä.png,_ i _ _ _ _,True,word_nieriä_question.png,10,False
175,word,kustos,7.0,Comic Sans MS,30,0,0.5,word_kustos.png,_ _ ü _ _ _,False,word_kustos_question.png,10,False
176,word,estyä,6.0,Impact,20,0,0.35,word_estyä.png,e _ _ _ _,True,word_estyä_question.png,10,False
177,word,kopina,7.0,Times New Roman,40,0,0.35,word_kopina.png,_ _ _ f _ _,False,word_kopina_question.png,10,False
178,symbols,s^dv^,,DejaVu Sans,40,0,0.2,symbols_s^dv^.png,_ v _ _ _,False,symbols_s^dv^_question.png,30,True
179,word,diodi,8.0,Times New Roman,40,15,0.35,word_diodi.png,_ _ o _ _,True,word_diodi_question.png,10,False
180,word,häkä,88.0,Impact,20,-15,0.35,word_häkä.png,h _ _ _,True,word_häkä_question.png,10,False
181,word,rukki,10.0,Times New Roman,30,-15,0.2,word_rukki.png,_ _ _ _ i,True,word_rukki_question.png,10,False
182,symbols,dovv^,,DejaVu Sans,40,15,0.5,symbols_dovv^.png,_ o _ _ _,True,symbols_dovv^_question.png,30,False
183,word,särkyä,94.0,Impact,20,15,0.5,word_särkyä.png,j _ _ _ _ _,False,word_särkyä_question.png,10,True
184,word,kopio,1837.0,Times New Roman,30,15,0.35,word_kopio.png,_ _ _ _ o,True,word_kopio_question.png,10,False
185,word,täällä,399497.0,Comic Sans MS,30,0,0.5,word_täällä.png,_ _ _ _ _ ü,False,word_täällä_question.png,10,False
186,symbols,voov^v,,DejaVu Sans,40,-15,0.5,symbols_voov^v.png,_ _ _ _ ^ _,True,symbols_voov^v_question.png,30,False
187,symbols,voss,,DejaVu Sans,20,-15,0.35,symbols_voss.png,_ _ _ s,True,symbols_voss_question.png,30,False
188,symbols,^vd^vd,,DejaVu Sans,40,-15,0.2,symbols_^vd^vd.png,_ _ _ _ _ o,False,symbols_^vd^vd_question.png,30,False
189,word,tenä,5.0,Impact,40,-15,0.35,word_tenä.png,_ e _ _,True,word_tenä_question.png,10,False
190,word,säie,38.0,Comic Sans MS,30,-15,0.5,word_säie.png,_ z _ _,False,word_säie_question.png,10,True
191,word,nuha,140.0,Times New Roman,30,-15,0.2,word_nuha.png,_ _ _ u,False,word_nuha_question.png,10,False
192,word,arpoa,35.0,Comic Sans MS,30,15,0.2,word_arpoa.png,_ _ _ o _,True,word_arpoa_question.png,10,False
193,word,ositus,12.0,Times New Roman,20,-15,0.35,word_ositus.png,ö _ _ _ _ _,False,word_ositus_question.png,10,False
194,consonants,bxhl,,Comic Sans MS,20,-15,0.2,consonants_bxhl.png,b _ _ _,True,consonants_bxhl_question.png,20,True
195,word,kussa,7.0,Comic Sans MS,30,0,0.35,word_kussa.png,_ _ _ ü _,False,word_kussa_question.png,10,False
196,word,psalmi,81.0,Comic Sans MS,30,0,0.5,word_psalmi.png,q _ _ _ _ _,False,word_psalmi_question.png,10,False
197,symbols,oo^v,,DejaVu Sans,30,-15,0.2,symbols_oo^v.png,o _ _ _,True,symbols_oo^v_question.png,30,False
198,word,someen,14.0,Comic Sans MS,40,0,0.35,word_someen.png,_ c _ _ _ _,False,word_someen_question.png,10,False
199,symbols,dvsv,,DejaVu Sans,40,0,0.2,symbols_dvsv.png,_ _ d _,False,symbols_dvsv_question.png,30,False
200,consonants,zztr,,Times New Roman,20,0,0.2,consonants_zztr.png,_ x _ _,False,consonants_zztr_question.png,20,False
201,word,säiky,55.0,Impact,20,-15,0.35,word_säiky.png,_ _ i _ _,True,word_säiky_question.png,10,True
202,consonants,gxqtx,,Impact,20,15,0.35,consonants_gxqtx.png,_ _ _ _ x,True,consonants_gxqtx_question.png,20,False
203,symbols,odo^,,DejaVu Sans,30,-15,0.35,symbols_odo^.png,d _ _ _,False,symbols_odo^_question.png,30,False
204,word,uuma,5.0,Comic Sans MS,40,0,0.2,word_uuma.png,_ u _ _,True,word_uuma_question.png,10,False
205,symbols,oosvsd,,DejaVu Sans,40,-15,0.35,symbols_oosvsd.png,_ v _ _ _ _,False,symbols_oosvsd_question.png,30,False
206,symbols,odvs^,,DejaVu Sans,20,15,0.35,symbols_odvs^.png,_ _ v _ _,True,symbols_odvs^_question.png,30,False
207,symbols,^svs^,,DejaVu Sans,40,0,0.2,symbols_^svs^.png,_ _ _ d _,False,symbols_^svs^_question.png,30,True
208,word,yöpyä,875.0,Times New Roman,40,-15,0.2,word_yöpyä.png,y _ _ _ _,True,word_yöpyä_question.png,10,False
209,symbols,^vovvs,,DejaVu Sans,40,15,0.35,symbols_^vovvs.png,_ _ _ _ s _,False,symbols_^vovvs_question.png,30,False
210,consonants,hjqc,,Times New Roman,20,15,0.2,consonants_hjqc.png,m _ _ _,False,consonants_hjqc_question.png,20,False
211,word,jymy,7.0,Comic Sans MS,40,-15,0.35,word_jymy.png,_ _ _ y,True,word_jymy_question.png,10,False
